Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Exclusive,StreamPL
355,The Great British Bake Off,2010,7+,8.6,,1,0,0,0,1,1,N
356,The Trials of Gabriel Fernandez,2020,18+,8.2,80%,1,0,0,0,1,1,N
357,Ugly Delicious,2018,18+,7.8,100%,1,0,0,0,1,1,N
358,The Night Shift,2014,16+,7.4,30%,1,0,0,0,1,1,N
359,Impractical Jokers,2011,16+,8.5,,1,0,0,0,1,1,N
361,Itaewon Class,2020,,8.2,,1,0,0,0,1,1,N
362,Aquarius,2015,16+,7.1,77%,1,0,0,0,1,1,N
363,Caliphate,2020,,8.2,,1,0,0,0,1,1,N
364,Black Summer,2019,18+,6.4,75%,1,0,0,0,1,1,N
365,Bonding,2019,16+,7.2,64%,1,0,0,0,1,1,N
366,Miraculous: Tales of Ladybug & Cat Noir,2015,7+,7.8,,1,0,0,0,1,1,N
368,When Calls the Heart,2014,all,8.2,,1,0,0,0,1,1,N
369,Young & Hungry,2014,16+,7.4,60%,1,0,0,0,1,1,N
370,Club de Cuervos,2015,18+,8.2,80%,1,0,0,0,1,1,N
371,I'm Sorry,2017,7+,7.9,75%,1,0,0,0,1,1,N
372,The Universe,2007,16+,8.8,,1,0,0,0,1,1,N
373,The Chalet,2018,18+,7.0,100%,1,0,0,0,1,1,N
374,My Next Guest Needs No Introduction With David Letterman,2018,18+,7.9,83%,1,0,0,0,1,1,N
375,Still Game,2002,16+,8.9,,1,0,0,0,1,1,N
377,The Confession Killer,2019,16+,7.4,100%,1,0,0,0,1,1,N
378,Father Brown,2013,7+,7.7,,1,0,0,0,1,1,N
379,Bordertown,2016,7+,7.6,39%,1,0,0,0,1,1,N
380,Battle Creek,2015,16+,7.3,96%,1,0,0,0,1,1,N
381,Valhalla Murders,2019,18+,7.1,,1,0,0,0,1,1,N
382,Scream: The TV Series,2015,16+,7.2,,1,0,0,0,1,1,N
383,Special,2019,18+,7.6,95%,1,0,0,0,1,1,N
385,3Below: Tales of Arcadia,2018,7+,7.8,100%,1,0,0,0,1,1,N
386,Mystery Science Theater 3000: The Return,2017,16+,8.0,100%,1,0,0,0,1,1,N
387,Dear White People,2017,16+,6.2,95%,1,0,0,0,1,1,N
389,The English Game,2020,,7.6,67%,1,0,0,0,1,1,N
390,White Gold,2017,18+,7.4,88%,1,0,0,0,1,1,N
391,Crazyhead,2016,,7.3,100%,1,0,0,0,1,1,N
392,The Protector,2018,16+,6.9,,1,0,0,0,1,1,N
393,Dirty John,2018,16+,7.1,71%,1,0,0,0,1,1,N
394,Get Shorty,2017,18+,8.2,,1,0,0,0,1,1,N
395,30 for 30,2009,7+,8.8,,1,0,0,0,1,1,N
396,Bard of Blood,2019,,7.0,,1,0,0,0,1,1,N
397,The Great Train Robbery,2013,,7.4,78%,1,0,0,0,1,1,N
398,Devilman: Crybaby,2018,,7.6,80%,1,0,0,0,1,1,N
399,Good Witch,2015,7+,7.3,,1,0,0,0,1,1,N
400,It's Bruno!,2019,7+,7.5,100%,1,0,0,0,1,1,N
401,Gurren Lagann,2007,16+,8.3,,1,0,0,0,1,1,N
402,Gentefied,2020,16+,7.3,88%,1,0,0,0,1,1,N
403,Victorious,2010,7+,6.9,,1,0,0,0,1,1,N
404,Dynasty,2017,16+,7.3,,1,0,0,0,1,1,N
405,The Curious Creations of Christine McConnell,2018,7+,7.7,100%,1,0,0,0,1,1,N
406,El Chapo,2017,16+,7.8,,1,0,0,0,1,1,N
407,Trinkets,2019,7+,7.1,50%,1,0,0,0,1,1,N
408,The Get Down,2016,16+,8.3,,1,0,0,0,1,1,N
409,Masum,2017,16+,8.5,,1,0,0,0,1,1,N
411,Fuller House,2016,7+,6.8,28%,1,0,0,0,1,1,N
412,Kill la Kill,2013,18+,7.9,,1,0,0,0,1,1,N
413,Dark Tourist,2018,18+,7.6,70%,1,0,0,0,1,1,N
414,Shtisel,2013,,8.7,,1,0,0,0,1,1,N
415,Great News,2017,7+,7.0,84%,1,0,0,0,1,1,N
417,Grand Hotel,2011,7+,8.4,,1,0,0,0,1,1,N
419,Workin' Moms,2017,18+,7.5,,1,0,0,0,1,1,N
420,Z Nation,2014,18+,6.7,,1,0,0,0,1,1,N
421,Losers,2019,,7.7,100%,1,0,0,0,1,1,N
422,"Roswell, New Mexico",2019,16+,6.1,55%,1,0,0,0,1,1,N
423,Comedians in Cars Getting Coffee,2012,16+,8.1,,1,0,0,0,1,1,N
424,Conan,2010,16+,8.1,,1,0,0,0,1,1,N
425,The Guild,2007,,8.2,,1,0,0,0,1,1,N
426,Friends from College,2017,18+,6.8,24%,1,0,0,0,1,1,N
427,Wormwood,2017,16+,7.0,92%,1,0,0,0,1,1,N
428,Watership Down,2018,7+,7.2,77%,1,0,0,0,1,1,N
429,Mr. Sunshine,2018,,8.8,,1,0,0,0,1,1,N
430,Bitten,2014,16+,7.0,,1,0,0,0,1,1,N
431,No Game No Life,2014,16+,7.9,,1,0,0,0,1,1,N
432,Violet Evergarden,2018,16+,8.4,,1,0,0,0,1,1,N
434,Gypsy,2017,18+,6.9,38%,1,0,0,0,1,1,N
435,Virgin River,2019,16+,7.5,,1,0,0,0,1,1,N
436,Gilmore Girls: A Year in the Life,2016,16+,7.7,,1,0,0,0,1,1,N
437,The Innocent Man,2018,18+,7.4,73%,1,0,0,0,1,1,N
438,Tuca & Bertie,2019,16+,7.4,100%,1,0,0,0,1,1,N
439,#blackAF,2020,18+,6.6,,1,0,0,0,1,1,N
